Localidades;Periodos;Empregos Formais ;Empregos Formais das Pessoas com Ensino Fundamental Incompleto ;Empregos Formais das Pessoas com Ensino Fundamental Completo ;Empregos Formais das Pessoas com Ensino M‚dio Completo ;Empregos Formais das Pessoas com Ensino Superior Completo ;C¢d. IBGE
Adamantina;2013;8936;797;1935;4848;1356;3500105
Adamantina;2014;9312;824;1985;5149;1354;3500105
Adamantina;2015;9477;756;1851;5439;1431;3500105
Adamantina;2016;9716;742;1593;5825;1556;3500105
Adamantina;2017;10194;707;1612;6197;1678;3500105
Adolfo;2013;816;315;166;232;103;3500204
Adolfo;2014;870;305;169;259;137;3500204
Adolfo;2015;815;275;162;264;114;3500204
Adolfo;2016;835;268;153;299;115;3500204
Adolfo;2017;858;277;161;309;111;3500204
Aguaí;2013;6289;912;1638;3100;639;3500303
Aguaí;2014;6612;948;1746;3242;676;3500303
Aguaí;2015;7726;1668;1778;3447;833;3500303
Aguaí;2016;6576;800;1663;3230;883;3500303
Aguaí;2017;6966;790;1812;3357;1007;3500303
Águas da Prata;2013;956;270;183;340;163;3500402
Águas da Prata;2014;959;251;163;371;174;3500402
Águas da Prata;2015;995;222;192;391;190;3500402
Águas da Prata;2016;962;176;177;426;183;3500402
Águas da Prata;2017;994;159;180;453;202;3500402
Águas de Lindóia;2013;4663;870;933;2190;670;3500501
Águas de Lindóia;2014;4802;823;919;2384;676;3500501
Águas de Lindóia;2015;5019;795;939;2558;727;3500501
Águas de Lindóia;2016;4690;734;840;2439;677;3500501
Águas de Lindóia;2017;4712;722;833;2461;696;3500501
Águas de Santa Bárbara;2013;1287;357;279;473;178;3500550
Águas de Santa Bárbara;2014;1534;381;376;590;187;3500550
Águas de Santa Bárbara;2015;1654;352;429;678;195;3500550
Águas de Santa Bárbara;2016;1400;351;336;537;176;3500550
Águas de Santa Bárbara;2017;1387;350;302;536;199;3500550
Águas de São Pedro;2013;1366;190;305;662;209;3500600
Águas de São Pedro;2014;1462;192;339;708;223;3500600
Águas de São Pedro;2015;1268;146;248;645;229;3500600
Águas de São Pedro;2016;1346;150;225;683;288;3500600
Águas de São Pedro;2017;1429;165;226;758;280;3500600
Agudos;2013;8660;789;1860;4828;1183;3500709
Agudos;2014;8305;853;1663;4604;1185;3500709
Agudos;2015;8642;797;1658;4851;1336;3500709
Agudos;2016;8461;705;1452;4920;1384;3500709
Agudos;2017;8545;706;1368;5008;1463;3500709
Alambari;2013;822;135;226;405;56;3500758
Alambari;2014;871;121;209;472;69;3500758
Alambari;2015;862;106;214;464;78;3500758
Alambari;2016;904;95;202;525;82;3500758
Alambari;2017;968;115;201;556;96;3500758
Alfredo Marcondes;2013;829;88;104;549;88;3500808
Alfredo Marcondes;2014;815;69;113;548;85;3500808
Alfredo Marcondes;2015;786;70;103;512;101;3500808
Alfredo Marcondes;2016;800;79;159;456;106;3500808
Alfredo Marcondes;2017;906;93;167;518;128;3500808
Altair;2013;688;255;164;216;53;3500907
Altair;2014;688;250;171;207;60;3500907
Altair;2015;638;245;131;198;64;3500907
Altair;2016;654;217;144;218;75;3500907
Altair;2017;704;219;157;254;74;3500907
Altinópolis;2013;3856;1296;947;1163;450;3501004
Altinópolis;2014;3789;1201;917;1209;462;3501004
Altinópolis;2015;4043;1244;1031;1288;480;3501004
Altinópolis;2016;4036;1223;984;1336;493;3501004
Altinópolis;2017;4048;1104;944;1481;519;3501004
Alto Alegre;2013;716;134;218;288;76;3501103
Alto Alegre;2014;751;134;236;303;78;3501103
Alto Alegre;2015;543;94;127;244;78;3501103
Alto Alegre;2016;541;89;129;245;78;3501103
Alto Alegre;2017;532;92;129;226;85;3501103
Alumínio;2013;7123;305;651;5385;782;3501152
Alumínio;2014;6893;243;573;5190;887;3501152
Alumínio;2015;6479;232;505;4929;813;3501152
Alumínio;2016;6427;214;480;4777;956;3501152
Alumínio;2017;6305;215;405;4676;1009;3501152
Álvares Florence;2013;901;229;280;269;123;3501202
Álvares Florence;2014;672;151;186;216;119;3501202
Álvares Florence;2015;651;146;169;215;121;3501202
Álvares Florence;2016;618;122;156;230;110;3501202
Álvares Florence;2017;507;93;88;220;106;3501202
Álvares Machado;2013;3305;508;668;1596;533;3501301
Álvares Machado;2014;3413;509;690;1679;535;3501301
Álvares Machado;2015;3580;502;846;1685;547;3501301
Álvares Machado;2016;3483;496;727;1683;577;3501301
Álvares Machado;2017;3375;505;555;1691;624;3501301
Álvaro de Carvalho;2013;359;129;46;107;77;3501400
Álvaro de Carvalho;2014;433;124;59;151;99;3501400
Álvaro de Carvalho;2015;418;125;59;153;81;3501400
Álvaro de Carvalho;2016;381;109;52;158;62;3501400
Álvaro de Carvalho;2017;400;104;51;177;68;3501400
Alvinlândia;2013;374;115;66;120;73;3501509
Alvinlândia;2014;370;117;60;107;86;3501509
Alvinlândia;2015;333;81;55;116;81;3501509
Alvinlândia;2016;363;110;53;134;66;3501509
Alvinlândia;2017;349;91;56;120;82;3501509
Americana;2013;82334;8354;17594;44371;12015;3501608
Americana;2014;80758;8002;16363;44148;12245;3501608
Americana;2015;76611;7024;14394;43106;12087;3501608
Americana;2016;72890;6327;12878;41805;11880;3501608
Americana;2017;71840;6101;12203;41862;11674;3501608
Américo Brasiliense;2013;8837;1892;2443;3714;788;3501707
Américo Brasiliense;2014;8693;1799;2260;3805;829;3501707
Américo Brasiliense;2015;8601;1669;2137;3951;844;3501707
Américo Brasiliense;2016;8582;1470;2090;4055;967;3501707
Américo Brasiliense;2017;9443;1522;2165;4530;1226;3501707
Américo de Campos;2013;502;107;92;208;95;3501806
Américo de Campos;2014;613;92;93;266;162;3501806
Américo de Campos;2015;607;92;80;276;159;3501806
Américo de Campos;2016;574;77;82;264;151;3501806
Américo de Campos;2017;568;66;71;279;152;3501806
Amparo;2013;25587;4562;6045;11802;3178;3501905
Amparo;2014;25896;4408;6041;11886;3561;3501905
Amparo;2015;24998;4074;5339;11820;3765;3501905
Amparo;2016;24374;3353;4184;11024;5813;3501905
Amparo;2017;24510;3110;3961;12870;4569;3501905
Analândia;2013;1020;235;294;379;112;3502002
Analândia;2014;998;239;260;381;118;3502002
Analândia;2015;1039;203;271;446;119;3502002
Analândia;2016;981;211;258;387;125;3502002
Analândia;2017;984;185;261;404;134;3502002
Andradina;2013;14444;2079;3172;7366;1827;3502101
Andradina;2014;14653;2111;2937;7549;2056;3502101
Andradina;2015;15149;2248;3123;7834;1944;3502101
Andradina;2016;14667;1516;2475;6894;3782;3502101
Andradina;2017;14775;1474;2308;8556;2437;3502101
Angatuba;2013;4917;1165;1481;1883;388;3502200
Angatuba;2014;5200;1198;1403;2171;428;3502200
Angatuba;2015;5729;1685;1323;2305;416;3502200
Angatuba;2016;5030;1115;1061;2435;419;3502200
Angatuba;2017;5166;1158;988;2564;456;3502200
Anhembi;2013;962;241;237;375;109;3502309
Anhembi;2014;888;242;177;361;108;3502309
Anhembi;2015;857;216;186;343;112;3502309
Anhembi;2016;788;196;175;264;153;3502309
Anhembi;2017;872;239;195;267;171;3502309
Anhumas;2013;520;95;137;218;70;3502408
Anhumas;2014;702;96;135;260;211;3502408
Anhumas;2015;568;114;128;244;82;3502408
Anhumas;2016;506;108;107;200;91;3502408
Anhumas;2017;501;92;88;208;113;3502408
Aparecida;2013;10456;1355;2861;5027;1213;3502507
Aparecida;2014;11145;1311;2737;5723;1374;3502507
Aparecida;2015;11747;1272;2950;6092;1433;3502507
Aparecida;2016;11750;1206;2692;6358;1494;3502507
Aparecida;2017;11528;744;2113;7102;1569;3502507
Aparecida d'Oeste;2013;623;104;79;328;112;3502606
Aparecida d'Oeste;2014;632;91;76;355;110;3502606
Aparecida d'Oeste;2015;613;91;74;337;111;3502606
Aparecida d'Oeste;2016;612;86;67;355;104;3502606
Aparecida d'Oeste;2017;635;89;76;366;104;3502606
Apiaí;2013;5202;892;1172;2495;643;3502705
Apiaí;2014;5214;998;940;2805;471;3502705
Apiaí;2015;5155;953;932;2793;477;3502705
Apiaí;2016;4670;790;801;2561;518;3502705
Apiaí;2017;4879;828;904;2628;519;3502705
Aramina;2013;673;105;183;312;73;3503000
Aramina;2014;650;96;166;315;73;3503000
Aramina;2015;709;99;188;326;96;3503000
Aramina;2016;722;76;183;349;114;3503000
Aramina;2017;776;69;186;388;133;3503000
Arandu;2013;1358;565;361;320;112;3503109
Arandu;2014;1320;489;330;380;121;3503109
Arandu;2015;1523;614;358;413;138;3503109
Arandu;2016;1254;363;317;419;155;3503109
Arandu;2017;1328;430;309;429;160;3503109
Arapeí;2013;391;151;64;97;79;3503158
Arapeí;2014;396;155;73;101;67;3503158
Arapeí;2015;411;146;75;112;78;3503158
Arapeí;2016;373;123;66;115;69;3503158
Arapeí;2017;354;121;56;112;65;3503158
Araraquara;2013;75373;9173;17860;38099;10241;3503208
Araraquara;2014;77332;8550;17994;39520;11268;3503208
Araraquara;2015;75143;7719;16852;39500;11072;3503208
Araraquara;2016;74035;5743;17069;39637;11586;3503208
Araraquara;2017;72525;4466;16146;40002;11911;3503208
Araras;2013;38735;6686;7418;18972;5659;3503307
Araras;2014;38913;6382;7253;19322;5956;3503307
Araras;2015;37880;5935;6833;19033;6079;3503307
Araras;2016;36392;5377;6167;18680;6168;3503307
Araras;2017;37364;5205;6143;19524;6492;3503307
Araçariguama;2013;8196;878;2011;4423;884;3502754
Araçariguama;2014;8631;919;1911;4841;960;3502754
Araçariguama;2015;9301;865;1883;5458;1095;3502754
Araçariguama;2016;9394;819;1750;5674;1151;3502754
Araçariguama;2017;9622;827;1742;5752;1301;3502754
Araçatuba;2013;54834;4884;11387;30083;8480;3502804
Araçatuba;2014;57103;4825;11027;31952;9299;3502804
Araçatuba;2015;55507;4287;10601;31202;9417;3502804
Araçatuba;2016;54027;3791;9791;30926;9519;3502804
Araçatuba;2017;53599;3430;9115;31288;9766;3502804
Araçoiaba da Serra;2013;5041;865;1112;2530;534;3502903
Araçoiaba da Serra;2014;5041;831;1127;2452;631;3502903
Araçoiaba da Serra;2015;5124;701;1089;2673;661;3502903
Araçoiaba da Serra;2016;4680;582;950;2489;659;3502903
Araçoiaba da Serra;2017;4916;547;854;2672;843;3502903
Arco-Íris;2013;286;55;55;118;58;3503356
Arco-Íris;2014;301;58;58;128;57;3503356
Arco-Íris;2015;278;53;46;121;58;3503356
Arco-Íris;2016;312;34;39;171;68;3503356
Arco-Íris;2017;308;37;39;161;71;3503356
Arealva;2013;1556;310;635;468;143;3503406
Arealva;2014;2098;357;718;758;265;3503406
Arealva;2015;1306;236;403;503;164;3503406
Arealva;2016;1335;213;471;499;152;3503406
Arealva;2017;2082;311;606;877;288;3503406
Areias;2013;504;189;76;135;104;3503505
Areias;2014;512;171;102;143;96;3503505
Areias;2015;544;178;98;164;104;3503505
Areias;2016;541;185;106;155;95;3503505
Areias;2017;556;171;122;170;93;3503505
Areiópolis;2013;1400;226;325;692;157;3503604
Areiópolis;2014;1199;200;240;600;159;3503604
Areiópolis;2015;1147;183;216;585;163;3503604
Areiópolis;2016;1094;160;190;579;165;3503604
Areiópolis;2017;1017;69;384;415;149;3503604
Ariranha;2013;4478;1673;752;1660;393;3503703
Ariranha;2014;4067;1417;680;1577;393;3503703
Ariranha;2015;4094;1379;666;1614;435;3503703
Ariranha;2016;3977;1274;694;1609;400;3503703
Ariranha;2017;3902;1164;691;1621;426;3503703
Artur Nogueira;2013;11039;1801;2392;4906;1940;3503802
Artur Nogueira;2014;10619;1451;2131;5391;1646;3503802
Artur Nogueira;2015;11558;1738;2245;5237;2338;3503802
Artur Nogueira;2016;9405;1482;1876;4653;1394;3503802
Artur Nogueira;2017;10857;1465;1927;5210;2255;3503802
Arujá;2013;21729;2667;4040;12481;2541;3503901
Arujá;2014;23334;2574;3964;13902;2894;3503901
Arujá;2015;22783;2162;3671;13913;3037;3503901
Arujá;2016;22207;1994;3301;13733;3179;3503901
Arujá;2017;22354;1639;2985;14398;3332;3503901
Aspásia;2013;240;50;48;80;62;3503950
Aspásia;2014;243;48;52;81;62;3503950
Aspásia;2015;236;50;52;76;58;3503950
Aspásia;2016;217;40;44;73;60;3503950
Aspásia;2017;228;39;41;74;74;3503950
Assis;2013;23781;1408;4588;14322;3463;3504008
Assis;2014;24596;1233;4333;15266;3764;3504008
Assis;2015;23560;1117;2987;15188;4268;3504008
Assis;2016;21579;1104;2660;13334;4481;3504008
Assis;2017;21222;963;2405;13329;4525;3504008
Atibaia;2013;39206;5447;8590;19824;5345;3504107
Atibaia;2014;39990;5002;8378;20869;5741;3504107
Atibaia;2015;39857;4824;7646;21125;6262;3504107
Atibaia;2016;38871;4180;7064;21303;6324;3504107
Atibaia;2017;39106;3767;6531;21983;6825;3504107
Auriflama;2013;3340;389;591;1964;396;3504206
Auriflama;2014;3296;354;549;1964;429;3504206
Auriflama;2015;3088;310;490;1853;435;3504206
Auriflama;2016;2854;270;434;1730;420;3504206
Auriflama;2017;2680;247;401;1651;381;3504206
Avaí;2013;1636;471;491;514;160;3504305
Avaí;2014;1462;502;438;428;94;3504305
Avaí;2015;1094;368;239;412;75;3504305
Avaí;2016;963;209;236;416;102;3504305
Avaí;2017;1160;377;248;434;101;3504305
Avanhandava;2013;1941;691;492;588;170;3504404
Avanhandava;2014;1810;595;415;631;169;3504404
Avanhandava;2015;1949;627;461;688;173;3504404
Avanhandava;2016;1954;568;471;738;177;3504404
Avanhandava;2017;1955;498;486;754;217;3504404
Avaré;2013;21392;3753;4961;10102;2576;3504503
Avaré;2014;21386;3288;4902;10564;2632;3504503
Avaré;2015;22237;3258;5128;11158;2693;3504503
Avaré;2016;21455;2819;4713;11137;2786;3504503
Avaré;2017;21947;2894;4636;11544;2873;3504503
Bady Bassitt;2013;3509;357;763;1989;400;3504602
Bady Bassitt;2014;3589;354;719;2091;425;3504602
Bady Bassitt;2015;3427;318;718;1905;486;3504602
Bady Bassitt;2016;2979;265;539;1770;405;3504602
Bady Bassitt;2017;2763;168;424;1715;456;3504602
Balbinos;2013;386;72;72;193;49;3504701
Balbinos;2014;433;65;77;241;50;3504701
Balbinos;2015;422;69;66;237;50;3504701
Balbinos;2016;400;54;65;236;45;3504701
Balbinos;2017;389;60;58;227;44;3504701
Bálsamo;2013;1562;235;413;764;150;3504800
Bálsamo;2014;1461;183;314;786;178;3504800
Bálsamo;2015;1426;179;276;784;187;3504800
Bálsamo;2016;1301;134;236;742;189;3504800
Bálsamo;2017;1415;142;242;848;183;3504800
Bananal;2013;1890;493;698;463;236;3504909
Bananal;2014;2024;481;687;618;238;3504909
Bananal;2015;2136;505;752;637;242;3504909
Bananal;2016;1930;440;606;629;255;3504909
Bananal;2017;1843;385;421;771;266;3504909
Barão de Antonina;2013;512;98;98;263;53;3505005
Barão de Antonina;2014;569;98;107;312;52;3505005
Barão de Antonina;2015;530;80;94;295;61;3505005
Barão de Antonina;2016;592;36;122;370;64;3505005
Barão de Antonina;2017;558;28;115;353;62;3505005
Barbosa;2013;929;195;269;348;117;3505104
Barbosa;2014;998;222;243;397;136;3505104
Barbosa;2015;785;207;180;276;122;3505104
Barbosa;2016;732;159;151;290;132;3505104
Barbosa;2017;621;120;129;242;130;3505104
Bariri;2013;9105;1450;3461;3235;959;3505203
Bariri;2014;9288;1574;3491;3226;997;3505203
Bariri;2015;8856;1560;3004;3314;978;3505203
Bariri;2016;8973;1495;2996;3462;1020;3505203
Bariri;2017;9198;1417;2889;3793;1099;3505203
Barra Bonita;2013;13339;2644;3247;6296;1152;3505302
Barra Bonita;2014;12855;2387;2617;6532;1319;3505302
Barra Bonita;2015;12105;2046;2462;6260;1337;3505302
Barra Bonita;2016;11418;1751;2071;6218;1378;3505302
Barra Bonita;2017;11595;1837;2015;6319;1424;3505302
Barra do Chapéu;2013;641;298;112;173;58;3505351
Barra do Chapéu;2014;631;318;76;179;58;3505351
Barra do Chapéu;2015;557;184;107;184;82;3505351
Barra do Chapéu;2016;580;249;76;177;78;3505351
Barra do Chapéu;2017;676;267;87;237;85;3505351
Barra do Turvo;2013;692;113;124;279;176;3505401
Barra do Turvo;2014;652;110;126;275;141;3505401
Barra do Turvo;2015;632;110;125;254;143;3505401
Barra do Turvo;2016;618;35;155;294;134;3505401
Barra do Turvo;2017;646;33;171;294;148;3505401
Barretos;2013;32975;5198;6541;16749;4487;3505500
Barretos;2014;33896;4222;5930;17187;6557;3505500
Barretos;2015;34593;5008;6067;18148;5370;3505500
Barretos;2016;33627;4141;5386;17759;6341;3505500
Barretos;2017;31634;3373;4793;17892;5576;3505500
Barrinha;2013;3972;549;900;2087;436;3505609
Barrinha;2014;3815;560;857;1947;451;3505609
Barrinha;2015;3886;454;812;2162;458;3505609
Barrinha;2016;3765;332;660;2221;552;3505609
Barrinha;2017;3735;328;862;1979;566;3505609
Barueri;2013;258584;23823;34666;137624;62471;3505708
Barueri;2014;262968;21451;33537;139318;68662;3505708
Barueri;2015;263246;21271;32041;135922;74012;3505708
Barueri;2016;254677;17641;28155;133171;75710;3505708
Barueri;2017;251834;16231;26810;132658;76135;3505708
Bastos;2013;6645;1545;1863;2677;560;3505807
Bastos;2014;6639;1387;1902;2755;595;3505807
Bastos;2015;7666;1479;1819;3297;1071;3505807
Bastos;2016;6870;1385;1630;3099;756;3505807
Bastos;2017;7173;1363;1655;3402;753;3505807
Batatais;2013;17043;3008;4639;6748;2648;3505906
Batatais;2014;16760;2710;4529;6897;2624;3505906
Batatais;2015;15535;2302;4027;6472;2734;3505906
Batatais;2016;15223;2161;3970;6338;2754;3505906
Batatais;2017;15683;2274;3508;6861;3040;3505906
Bauru;2013;129238;9036;23482;76119;20601;3506003
Bauru;2014;130805;8242;23076;77688;21799;3506003
Bauru;2015;125753;7192;21086;75094;22381;3506003
Bauru;2016;120854;6678;19525;72639;22012;3506003
Bauru;2017;121528;6213;18565;74045;22705;3506003
Bebedouro;2013;24496;5474;3691;11832;3499;3506102
Bebedouro;2014;27038;7499;3963;11996;3580;3506102
Bebedouro;2015;27938;8899;3810;11545;3684;3506102
Bebedouro;2016;24479;5144;3207;11733;4395;3506102
Bebedouro;2017;28549;8558;3785;11911;4295;3506102
Bento de Abreu;2013;816;249;115;359;93;3506201
Bento de Abreu;2014;820;219;132;382;87;3506201
Bento de Abreu;2015;925;252;153;422;98;3506201
Bento de Abreu;2016;842;195;142;410;95;3506201
Bento de Abreu;2017;919;225;146;456;92;3506201
Bernardino de Campos;2013;2295;401;428;1183;283;3506300
Bernardino de Campos;2014;2386;351;421;1322;292;3506300
Bernardino de Campos;2015;2306;323;378;1316;289;3506300
Bernardino de Campos;2016;2023;267;356;1120;280;3506300
Bernardino de Campos;2017;2100;246;396;1131;327;3506300
Bertioga;2013;12769;1758;3091;6322;1598;3506359
Bertioga;2014;12320;1585;2647;6494;1594;3506359
Bertioga;2015;12660;1631;2456;6993;1580;3506359
Bertioga;2016;12398;1490;2135;7013;1760;3506359
Bertioga;2017;12785;1395;2040;7488;1862;3506359
Bilac;2013;1563;141;173;1092;157;3506409
Bilac;2014;1560;102;158;1123;177;3506409
Bilac;2015;1587;96;183;1127;181;3506409
Bilac;2016;1478;84;158;1037;199;3506409
Bilac;2017;1414;78;153;982;201;3506409
Birigui;2013;37893;4194;12503;17433;3763;3506508
Birigui;2014;37584;4055;11949;17642;3938;3506508
Birigui;2015;34076;3333;10063;16629;4051;3506508
Birigui;2016;33522;3041;9605;16733;4143;3506508
Birigui;2017;33181;2789;8446;17496;4450;3506508
Biritiba-Mirim;2013;4080;794;763;2137;386;3506607
Biritiba-Mirim;2014;3935;648;717;2169;401;3506607
Biritiba-Mirim;2015;3930;623;763;2115;429;3506607
Biritiba-Mirim;2016;3873;583;795;2059;436;3506607
Biritiba-Mirim;2017;3985;604;853;2075;453;3506607
Boa Esperança do Sul;2013;5298;1773;1465;1690;370;3506706
Boa Esperança do Sul;2014;4959;1313;1468;1778;400;3506706
Boa Esperança do Sul;2015;5006;1372;1424;1789;421;3506706
Boa Esperança do Sul;2016;4665;1177;1293;1782;413;3506706
Boa Esperança do Sul;2017;2745;652;828;938;327;3506706
Bocaina;2013;4346;1149;1208;1645;344;3506805
Bocaina;2014;3538;893;884;1425;336;3506805
Bocaina;2015;3156;772;732;1311;341;3506805
Bocaina;2016;3224;851;741;1289;343;3506805
Bocaina;2017;2196;536;439;927;294;3506805
Bofete;2013;1653;351;439;728;135;3506904
Bofete;2014;1676;320;354;849;153;3506904
Bofete;2015;1850;384;354;936;176;3506904
Bofete;2016;1815;385;344;901;185;3506904
Bofete;2017;1899;356;334;1009;200;3506904
Boituva;2013;21127;2370;4788;11033;2936;3507001
Boituva;2014;19664;1981;3907;10754;3022;3507001
Boituva;2015;22215;2552;4528;12093;3042;3507001
Boituva;2016;21232;1980;4113;11895;3244;3507001
Boituva;2017;23005;1868;4154;13411;3572;3507001
Bom Jesus dos Perdões;2013;4531;655;1065;2362;449;3507100
Bom Jesus dos Perdões;2014;4478;557;933;2534;454;3507100
Bom Jesus dos Perdões;2015;5219;632;1149;2919;519;3507100
Bom Jesus dos Perdões;2016;4873;483;1016;2794;580;3507100
Bom Jesus dos Perdões;2017;4913;461;885;2888;679;3507100
Bom Sucesso de Itararé;2013;544;165;170;161;48;3507159
Bom Sucesso de Itararé;2014;544;176;146;166;56;3507159
Bom Sucesso de Itararé;2015;572;130;190;200;52;3507159
Bom Sucesso de Itararé;2016;484;104;151;176;53;3507159
Bom Sucesso de Itararé;2017;508;112;155;174;67;3507159
Borá;2013;1760;565;399;699;97;3507209
Borá;2014;1555;476;332;654;93;3507209
Borá;2015;1501;449;315;648;89;3507209
Borá;2016;1369;416;181;666;106;3507209
Borá;2017;1079;329;131;504;115;3507209
Boracéia;2013;1342;260;456;525;101;3507308
Boracéia;2014;1323;197;393;607;126;3507308
Boracéia;2015;1171;102;373;565;131;3507308
Boracéia;2016;1216;193;318;559;146;3507308
Boracéia;2017;1282;157;308;659;158;3507308
Borborema;2013;2961;437;903;1359;262;3507407
Borborema;2014;2986;447;783;1493;263;3507407
Borborema;2015;2907;395;621;1591;300;3507407
Borborema;2016;2767;278;608;1552;329;3507407
Borborema;2017;2877;297;693;1555;332;3507407
Borebi;2013;763;200;132;344;87;3507456
Borebi;2014;746;247;184;237;78;3507456
Borebi;2015;666;186;154;234;92;3507456
Borebi;2016;659;192;233;184;50;3507456
Borebi;2017;655;163;224;213;55;3507456
Botucatu;2013;41382;4044;6397;23773;7168;3507506
Botucatu;2014;41687;3574;5655;24797;7661;3507506
Botucatu;2015;41184;3905;5457;23978;7844;3507506
Botucatu;2016;38950;2888;5337;22724;8001;3507506
Botucatu;2017;39415;3127;5347;22854;8087;3507506
Bragança Paulista;2013;42578;4873;8087;23332;6286;3507605
Bragança Paulista;2014;43186;4700;7502;24203;6781;3507605
Bragança Paulista;2015;42494;4267;7031;24355;6841;3507605
Bragança Paulista;2016;43033;3949;6731;25278;7075;3507605
Bragança Paulista;2017;43297;3819;6451;25954;7073;3507605
Braúna;2013;629;153;135;238;103;3507704
Braúna;2014;634;106;138;277;113;3507704
Braúna;2015;617;99;142;279;97;3507704
Braúna;2016;516;87;109;222;98;3507704
Braúna;2017;510;81;97;232;100;3507704
Brejo Alegre;2013;2733;1172;537;899;125;3507753
Brejo Alegre;2014;5469;2592;1059;1604;214;3507753
Brejo Alegre;2015;2044;793;381;760;110;3507753
Brejo Alegre;2016;1912;722;389;693;108;3507753
Brejo Alegre;2017;1472;514;277;571;110;3507753
Brodowski;2013;4525;393;1108;2479;545;3507803
Brodowski;2014;4863;348;1226;2644;645;3507803
Brodowski;2015;5087;429;1149;2835;674;3507803
Brodowski;2016;4946;339;1010;2903;694;3507803
Brodowski;2017;4983;337;948;2961;737;3507803
Brotas;2013;7461;1820;1613;3330;698;3507902
Brotas;2014;6737;1463;1453;3067;754;3507902
Brotas;2015;7545;1840;1571;3376;758;3507902
Brotas;2016;6634;1303;1289;3300;742;3507902
Brotas;2017;5895;983;1035;3177;700;3507902
Buri;2013;3891;1274;1153;1152;312;3508009
Buri;2014;4083;1152;1240;1363;328;3508009
Buri;2015;4149;1388;1181;1247;333;3508009
Buri;2016;4159;1318;1147;1315;379;3508009
Buri;2017;4579;1208;1260;1641;470;3508009
Buritama;2013;2807;412;654;1381;360;3508108
Buritama;2014;4171;765;790;2124;492;3508108
Buritama;2015;4164;784;704;2137;539;3508108
Buritama;2016;4137;688;692;2220;537;3508108
Buritama;2017;4108;581;636;2376;515;3508108
Buritizal;2013;1744;589;404;581;170;3508207
Buritizal;2014;1701;557;394;570;180;3508207
Buritizal;2015;1742;530;408;626;178;3508207
Buritizal;2016;1745;510;388;672;175;3508207
Buritizal;2017;1711;470;387;671;183;3508207
Cabrália Paulista;2013;835;314;201;295;25;3508306
Cabrália Paulista;2014;1027;333;228;375;91;3508306
Cabrália Paulista;2015;998;323;208;378;89;3508306
Cabrália Paulista;2016;969;230;159;375;205;3508306
Cabrália Paulista;2017;958;203;147;507;101;3508306
Cabreúva;2013;14695;2181;3248;7627;1639;3508405
Cabreúva;2014;14747;2194;3148;7689;1716;3508405
Cabreúva;2015;14319;2060;2787;7683;1789;3508405
Cabreúva;2016;14038;1910;2619;7642;1867;3508405
Cabreúva;2017;13804;1740;2446;7610;2008;3508405
Cachoeira Paulista;2013;5571;768;791;2922;1090;3508603
Cachoeira Paulista;2014;5692;713;813;2915;1251;3508603
Cachoeira Paulista;2015;5845;727;823;3012;1283;3508603
Cachoeira Paulista;2016;5338;584;689;2826;1239;3508603
Cachoeira Paulista;2017;5318;539;619;2897;1263;3508603
Caconde;2013;2134;497;471;846;320;3508702
Caconde;2014;2297;502;521;928;346;3508702
Caconde;2015;2242;435;509;958;340;3508702
Caconde;2016;2088;382;486;889;331;3508702
Caconde;2017;2142;351;452;974;365;3508702
Cafelândia;2013;3696;588;809;1944;355;3508801
Cafelândia;2014;3636;468;896;1909;363;3508801
Cafelândia;2015;3621;498;866;1866;391;3508801
Cafelândia;2016;3662;400;861;2044;357;3508801
Cafelândia;2017;3927;729;668;2170;360;3508801
Caiabu;2013;358;84;55;125;94;3508900
Caiabu;2014;424;89;46;183;106;3508900
Caiabu;2015;373;76;38;153;106;3508900
Caiabu;2016;371;73;35;154;109;3508900
Caiabu;2017;354;67;34;153;100;3508900
Caieiras;2013;23586;2896;4358;13556;2776;3509007
Caieiras;2014;23556;2512;4183;14028;2833;3509007
Caieiras;2015;23492;2437;3731;14435;2889;3509007
Caieiras;2016;18601;2330;2833;10872;2566;3509007
Caieiras;2017;20415;1959;2860;12864;2732;3509007
Caiuá;2013;541;104;113;205;119;3509106
Caiuá;2014;564;97;117;228;122;3509106
Caiuá;2015;543;84;120;221;118;3509106
Caiuá;2016;592;80;112;258;142;3509106
Caiuá;2017;545;75;95;252;123;3509106
Cajamar;2013;41352;6527;8524;21117;5184;3509205
Cajamar;2014;43747;6351;7183;24246;5967;3509205
Cajamar;2015;41787;5989;6417;23518;5863;3509205
Cajamar;2016;38347;5187;5437;21852;5871;3509205
Cajamar;2017;37601;4520;4884;22120;6077;3509205
Cajati;2013;5659;1231;1169;2692;567;3509254
Cajati;2014;5802;1158;1117;2882;645;3509254
Cajati;2015;5822;1163;1074;2932;653;3509254
Cajati;2016;5835;1103;1146;2868;718;3509254
Cajati;2017;6335;1133;1329;3102;771;3509254
Cajobi;2013;1373;312;284;524;253;3509304
Cajobi;2014;1341;267;286;545;243;3509304
Cajobi;2015;1320;267;243;545;265;3509304
Cajobi;2016;1311;252;232;601;226;3509304
Cajobi;2017;1358;228;235;634;261;3509304
Cajuru;2013;4842;1106;1298;1871;567;3509403
Cajuru;2014;4813;950;1308;1955;600;3509403
Cajuru;2015;4886;1003;1221;2015;647;3509403
Cajuru;2016;4811;869;1144;2118;680;3509403
Cajuru;2017;4747;890;1043;2130;684;3509403
